ID;BCS;Age;Lact_num;CLO
1;1.8;7;7;1220
2;3;7;7;977
3;2.8;7;7;1092
4;2.9;7;7;1249
5;2.4;7;7;1221
6;2.2;7;7;1163
7;2.2;7;7;833
8;2.9;7;7;1191
9;2.5;7;7;1393
10;2.2;6;6;1795
11;2.8;6;6;890
12;2.5;6;6;1350
13;2.3;6;6;1680
14;2.5;6;6;1407
15;2.4;5;5;1364
16;2.9;5;5;1177
17;2;5;5;1493
18;2.4;5;5;1106
19;2.3;5;5;1192
20;2.5;5;5;1321
21;2.2;5;5;1464
22;2.9;5;5;1364
23;2.9;5;5;1378
24;2.4;5;5;991
25;2.5;5;5;1321
26;2.5;5;5;1508
27;2.7;5;5;1321
28;2.5;5;5;1364
29;2.9;5;5;1235
30;2.7;5;5;733
31;2.2;5;5;1307
32;2.8;5;5;1049
33;2.8;5;5;1163
34;2.3;5;5;1321
35;2.6;5;5;1149
36;2.8;5;5;963
37;3;5;5;1206
38;2.9;5;5;1421
39;2.8;5;5;1565
40;2.1;5;5;1292
41;2.1;5;5;1593
42;2.9;5;5;1264
43;2.5;5;5;1881
44;2.7;5;5;1292
45;2.7;5;5;1665
46;2.9;5;5;1694
47;2.5;5;5;1867
48;2.7;5;5;1321
49;2.2;5;5;1952
50;2.7;5;5;1350
51;2.8;4;4;1536
52;2.7;4;4;976
53;2.7;4;4;1651
54;2.6;4;4;1780
55;2.7;4;4;1479
56;2.8;4;4;1651
57;2.8;4;4;1407
58;2.9;4;4;1435
59;2.6;4;4;1924
60;3;4;4;1206
61;2.7;4;4;1465
62;2.9;4;4;1077
63;2.5;4;4;1034
64;2.7;4;4;1235
65;2.6;4;4;1493
66;2.6;4;4;1550
67;3;4;4;1335
68;2.8;4;4;1393
69;2.8;4;4;1034
70;2.5;4;4;1722
71;2.9;4;4;1608
72;2.6;4;4;1479
73;2.7;4;4;1293
74;2.7;4;4;1264
75;2.9;4;4;1163
76;2.6;4;4;1695
77;2.1;4;4;2010
78;2.6;4;4;1924
79;2.4;4;4;1422
80;2.7;4;4;1307
81;2.5;4;4;1241
82;2.7;4;4;1781
83;2.2;4;4;1206
84;2.9;4;4;1149
85;3;4;4;518
